filename,version,sha512
liblogger_x64.so,1.0.1,e13110044617f9b38160ff227cc52a36dcd07067c52a7beb52477d21e9fd67b028bd0705bfcd69bd294480e7aa2f2324732f6a0f956347d446bb02b133c39f0a
liblogger_x86.so,1.0.1,4d3f77f843ebfe624bdf96d86df125c24217144729bf4f691aed4c7ff1f22176bc49d6dd961c56ce5e956f70725841cd516ca56ed9aa0be5effa3a870f9fb8d7
liblogger.dylib,1.0.1,d2ec8dafd07d92e33746781efce45f66854c4d0ceab96b45061e93ac7be20f8c94ab348a101195573772b9da83c7084698f8f6090a4d2b44991c88f0c54284d8
liblogger_arm64.dll,1.0.1,78969355bd7795cad9dc5532480848b520adadf17d86aa94a127d418de566b90600565352f59f090ef3b34f264eff28bf7a6fdbbde90c1045a1156eef2c903cb
liblogger_x64.dll,1.0.1,bf8089a7c21026e5e9c27f92bbe4a240d05818f44f623869656e1e4bd3a2c0a359cdf8d12dec1af7cc9ec2f87cae24413e0b569d44ef4113d8a3de702be1a540
liblogger_x86.dll,1.0.1,38f428cc6fc9d1163cee74078d9e9728be8bb2afc1bab31423a07255a350b070c3baca54c2982102f00358398903aca259b116c8332a925c736d6307a6acd6ef
Toolscreen.dll,1.3.1,0d01d454249e7f34f5efd0ec0d70da5f0a1fc18452cf85d46edd6417aaaf336def2847fd27a3c30ee85072a6220ddaa5ef6b5b09ce0def7637992282aff08891
Toolscreen.dll,1.3.2,91ad543d865ea803d80328495be299777422188597566fd55dc50aea97937e36a74582421a2136a9e733ae47290c6fac8ebb73a6430a0197adb7a0afc042594c
Toolscreen.dll,1.3.3,e6b527599b0a71a704df5a1cd2c0c27bd834f0ffafc772b70b733d9629b2c19f8fc40bdcd31441c5a1f27df33df35a7a822903ec7559a224e8777b67661d2e19
Toolscreen.dll,1.3.4,d7759fd44288d19772c3242a359b4e759709cb1d35fee488b426ee9a20b4d5d5de7d4c857f83c787c1b36622cc127aa5295a3e916cbe20eb8e83cd25deaaecd6
Toolscreen.dll,1.3.5,e937ea5c7857c2603f9c36e49ca88f4d24b667634e84a980fdcb0f3c37f3fb05c7ccc0da3485ffc3a17b4061095b2be6a081a0ab47df76f59a4eeb20b8b470cd
Toolscreen.dll,1.3.6,fdd592fa37d78ca5c2a0214412fe6cbf5bb97c8321040478e374862466350c5a6d475fd54127743631e147dd7186d51152000bae2bb9b704aed3e29726dd6748
